clean_line1,clean_line2,line3,city,zip_code,label,phone,year,major_city,state,chain,Address_Type,Exit_Number,Main_Road,Secondary_Road,Exit_Number_2,Exit_Number_3,Tertiary_Road,Scraped_phone_match_rate,Yelp_phone_match_rate,place_identifier(year),Yellowbook_phone_match_rate,Webscraped_Phone_full_url,Webscraped_PlacedMatched_full_url,Yelp_URL,YellowPages_SEARCH_URL,Match_Comments,Final_Lat,Final_Long
"Cheyenne , 82001 Big D Truck Stop ( Conoco )",307-635-1093 I-25 Exit 9 / I-80 Exit 358 EB / 359 C WB,24 HRS,Cheyenne,82001,Big D Truck Stop ( Conoco ),307-635-1093,2006,Cheyenne,WY,Conoco,Exit,9,I-25,,358.0,359.0,,False,False,1,True,,,,,,,
"Cheyenne , 82001 Big D Truck Stop ( Exxon )",307-635-1093 I-25 Exit 9 / I-80 Exit 358 EB / 359 C WB,HRS 484 000,Cheyenne,82001,Big D Truck Stop ( Exxon ),307-635-1093,2007,Cheyenne,WY,Exxon,Exit,9,I-25,,358.0,359.0,,False,False,1,True,,,,,,,
"Cheyenne , 82001 Big D Truck Stop ( Exxon ) / 359 C WB",307-635-1093 I-25 Exit 9 / I-80 Exit 358 EB / 359 C WB,HRS 24 HRS,Cheyenne,82001,Big D Truck Stop ( Exxon ) / 359 C WB,307-635-1093,2008,Cheyenne,WY,Exxon,Exit,9,I-25,,358.0,359.0,,False,False,1,True,,,,,,,
Cheyenne ( 82001 ) Big D Truck Stop ( Exxon ),307-635-1093 I-25 Exit 9 / I-80 Exit 359 C,,Cheyenne,82001,Big D Truck Stop ( Exxon ),307-635-1093,2014,Cheyenne,WY,Exxon,Exit,9,I-25,,359.0,,,False,False,1,True,,,,,,,
Cheyenne ( 82001 ) Big D Truck Stop ( Exxon ),307-635-1093 I-25 Exit 9 / I-80 Exit 359 C,24,Cheyenne,82001,Big D Truck Stop ( Exxon ),307-635-1093,2015,Cheyenne,WY,Exxon,Exit,9,I-25,,359.0,,,False,False,1,True,,,,,,,
Cheyenne ( 82001 ) Big D Truck Stop ( Exxon ),307-635-1093 I-25 Exit 9 / I-80 Exit 359 C,24,Cheyenne,82001,Big D Truck Stop ( Exxon ),307-635-1093,2016,Cheyenne,WY,Exxon,Exit,9,I-25,,359.0,,,False,False,1,True,,,,,,,
"Cheyenne , 82007 Love's Travel Stop # 220",9 307-632-7902 I-25 Exit 7 ( College Dr ),24 HRS,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2006,Cheyenne,WY,Love's,Exit,7,I-25,,,,,False,False,2,True,,,,,,,
"Cheyenne , 82007 Love's Travel Stop # 220",307-632-7902 I-25 Exit 7 ( College Dr ),HRS 24 48 M <U+2610><U+2610>,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2007,Cheyenne,WY,Love's,Exit,7,I-25,,,,,False,False,2,True,,,,,,,
"Cheyenne , 82007 Love's Travel Stop # 220",307-632-7902 I-25 Exit 7 ( College Dr ),24 HRS IN,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2008,Cheyenne,WY,Love's,Exit,7,I-25,,,,,False,False,2,True,,,,,,,
Cheyenne ( 82007 ) Love's Travel Stop # 220,307-632-7902 I-25 Exit 7 ( College Dr ),MO DO,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2014,Cheyenne,WY,Love's,Exit,7,I-25,,,,,False,False,2,True,,,,,,,
Cheyenne ( 82007 ) Love's Travel Stop # 220,307-632-7902 I-25 Exit 7 ( College Dr ),24 M,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2015,Cheyenne,WY,Love's,Exit,7,I-25,,,,,False,False,2,True,,,,,,,
Cheyenne ( 82007 ) Love's Travel Stop # 220,9 307-632-7902 I-25 Exit 7 ( College Dr ),24 m MO <U+2610> <U+2610> <U+2610>,Cheyenne,82007,Love's Travel Stop # 220,307-632-7902,2016,Cheyenne,WY,Love's,Exit,7,I-25,,,,,False,False,2,True,,,,,,,
"Cheyenne , 82007 Flying J Travel Plaza # 0500018",307-635-2918 I-25 Exit 7 ( College Dr ),# 24,Cheyenne,82007,Flying J Travel Plaza # 0500018,307-635-2918,2006,Cheyenne,WY,Flying J,Exit,7,I-25,,,,,False,False,3,True,,,,,,,
"Cheyenne , 82007 Flying J Travel Plaza # 0500018",307-635-2918 I-25 Exit 7 ( College Dr ),24 HRS SOO,Cheyenne,82007,Flying J Travel Plaza # 0500018,307-635-2918,2007,Cheyenne,WY,Flying J,Exit,7,I-25,,,,,False,False,3,True,,,,,,,
"Cheyenne , 82007 Flying J Travel Plaza # 0500018",9 307-635-2918 I-25 Exit 7 ( College Dr ),24 The X 24,Cheyenne,82007,Flying J Travel Plaza # 0500018,307-635-2918,2008,Cheyenne,WY,Flying J,Exit,7,I-25,,,,,False,False,3,True,,,,,,,
Cheyenne ( 82007 ) Flying J Travel Plaza # 759,9 307-635-2918 I-25 Exit 7 ( College Dr ),24 XL 24,Cheyenne,82007,Flying J Travel Plaza # 759,307-635-2918,2014,Cheyenne,WY,Flying J,Exit,7,I-25,,,,,False,False,3,True,,,,,,,
Cheyenne ( 82007 ) Flying J Travel Plaza # 759,9 307-635-2918 I-25 Exit 7 ( College Dr ),FLYING J 24 XL 24 1005,Cheyenne,82007,Flying J Travel Plaza # 759,307-635-2918,2015,Cheyenne,WY,Flying J,Exit,7,I-25,,,,,False,False,3,True,,,,,,,
Cheyenne ( 82007 ) Flying J Travel Plaza # 759,307-635-2918 I-25 Exit 7 ( College Dr ),FLYING 24 XLOO HS 24 HAS 24,Cheyenne,82007,Flying J Travel Plaza # 759,307-635-2918,2016,Cheyenne,WY,Flying J,Exit,7,I-25,,,,,False,False,3,True,,,,,,,
"Cheyenne , 82007 Cheyenne Travel Plaza ( Sinclair )",307-635-5744 I-80 Exit 367,24 M <U+2610>,Cheyenne,82007,Cheyenne Travel Plaza ( Sinclair ),307-635-5744,2006,Cheyenne,WY,Sinclair,Exit,367,I-80,,,,,False,False,4,True,,,,,,,
"Cheyenne , 82007 Cheyenne Travel Plaza ( Sinclair )",307-635-5744 I-80 Exit 367,24 HRS L,Cheyenne,82007,Cheyenne Travel Plaza ( Sinclair ),307-635-5744,2007,Cheyenne,WY,Sinclair,Exit,367,I-80,,,,,False,False,4,True,,,,,,,
"Cheyenne , 82007 Pilot Travel Center # 402",307-635-5744 I-80 Exit 367,HRS 24 <U+2610> <U+2610> <U+2610> <U+2610>,Cheyenne,82007,Pilot Travel Center # 402,307-635-5744,2008,Cheyenne,WY,Pilot,Exit,367,I-80,,,,,False,False,4,True,,,,,,,
Cheyenne ( 82007 ) Pilot Travel Center # 402,307-635-5744 I-80 Exit 367,Plot 24 L,Cheyenne,82007,Pilot Travel Center # 402,307-635-5744,2014,Cheyenne,WY,Pilot,Exit,367,I-80,,,,,False,False,4,True,,,,,,,
Cheyenne ( 82007 ) Pilot Travel Center # 402,307-635-5744 I-80 Exit 367,Pilot 24 L,Cheyenne,82007,Pilot Travel Center # 402,307-635-5744,2015,Cheyenne,WY,Pilot,Exit,367,I-80,,,,,False,False,4,True,,,,,,,
Cheyenne ( 82007 ) Pilot Travel Center # 402,307-635-5744 I-80 Exit 367,Pilot 24 24,Cheyenne,82007,Pilot Travel Center # 402,307-635-5744,2016,Cheyenne,WY,Pilot,Exit,367,I-80,,,,,False,False,4,True,,,,,,,
"Cheyenne , 82007 Diamond Shamrock # 4550",307-638-0022 I-80 Exit 362 ( US 85 ),24,Cheyenne,82007,Diamond Shamrock # 4550,307-638-0022,2006,Cheyenne,WY,Shamrock,Exit,362,I-80,,,,,False,False,5,True,,,,,,,
"6 GCheyenne , 82007 Diamond Shamrock # 4550",307-638-0022 I-80 Exit 362 ( US 85 ),,Cheyenne,82007,Diamond Shamrock # 4550,307-638-0022,2007,Cheyenne,WY,Shamrock,Exit,362,I-80,,,,,False,False,5,True,,,,,,,
"Cheyenne , 82007 Diamond Shamrock # 4550",307-638-0022 I-80 Exit 362 ( US 85 ),24 S,Cheyenne,82007,Diamond Shamrock # 4550,307-638-0022,2008,Cheyenne,WY,Shamrock,Exit,362,I-80,,,,,False,False,5,True,,,,,,,
Cheyenne ( 82007 ) Corner Store # 4550 ( Valero ),307-638-0022 I-80 Exit 362 ( US 85 ),22 S,Cheyenne,82007,Corner Store # 4550 ( Valero ),307-638-0022,2014,Cheyenne,WY,Valero,Exit,362,I-80,,,,,False,False,5,True,,,,,,,
