clean_line1,clean_line2,line3,city,zip_code,label,phone,address,year,major_city,state,chain,address_standardized_ON_parenthesis,address_standardized_OFF_parenthesis,Address_Type,Exit_Number,Flagged,Flag_Reason,Is_Unclear_OCR
"Blandford , 01008 Blandford Plaza EB Exxon # 5020",413-848-2056 I-90 ( MATP ) MM 29 EB,<U+25A1> <U+2610>,Blandford,1008,Blandford Plaza EB Exxon # 5020,413-848-2056,I-90 ( MATP ) MM 29 EB,2006,Blandford,MA,Exxon,( MATP ) MM 29 EB,I-90,empty,,False,,False
"Blandford , 01008 Blandford Plaza EB Exxon # 5020",413-848-2056 I-90 ( MATP ) MM 29 EB,24 HRS S,Blandford,1008,Blandford Plaza EB Exxon # 5020,413-848-2056,I-90 ( MATP ) MM 29 EB,2007,Blandford,MA,Exxon,( MATP ) MM 29 EB,I-90,empty,,False,,False
"Blandford , 01008 Blandford Plaza EB Exxon # 5020",413-848-2056 I-90 ( MATP ) MM 29 EB,HAS 24 SO <U+2610> <U+2610>,Blandford,1008,Blandford Plaza EB Exxon # 5020,413-848-2056,I-90 ( MATP ) MM 29 EB,2008,Blandford,MA,Exxon,( MATP ) MM 29 EB,I-90,empty,,False,,False
D Blandford ( 01008 ) Blandford Plaza EB # 9020 ( Gulf ),413-848-2056 I-90 ( MATP ) MM 29 EB,24 S <U+2610>,Blandford,1008,Blandford Plaza EB # 9020 ( Gulf ),413-848-2056,I-90 ( MATP ) MM 29 EB,2014,Blandford,MA,Gulf,( MATP ) MM 29 EB,I-90,empty,,False,,False
D Blandford ( 01008 ) Blandford Plaza EB # 9020 ( Gulf ),2 413-848-2056 I-90 ( MATP ) MM 29 EB,24 S,Blandford,1008,Blandford Plaza EB # 9020 ( Gulf ),413-848-2056,I-90 ( MATP ) MM 29 EB,2015,Blandford,MA,Gulf,( MATP ) MM 29 EB,I-90,empty,,False,,False
Blandford ( 01008 ) Blandford Plaza EB # 850 ( Gulf ),413-848-2056 I-90 ( MATP ) MM 29 EB,24 S <U+2610> <U+2610>,Blandford,1008,Blandford Plaza EB # 850 ( Gulf ),413-848-2056,I-90 ( MATP ) MM 29 EB,2016,Blandford,MA,Gulf,( MATP ) MM 29 EB,I-90,empty,,False,,False
"Chicopee , 01022 Pride Travel Center",413-592-6190 I-90 Exit 6 ( at end of I-291 ),S 000 00,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 Exit 6 ( at end of I-291 ),2006,Chicopee,MA,,( at end of I-291 ),I-90 Exit 6 ,Exit,6,False,,False
"E Chicopee , 01022 Pride Travel Center",413-592-6190 I-90 Exit 6 ( at end of I-291 ),FRS 24 XL 24,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 Exit 6 ( at end of I-291 ),2007,Chicopee,MA,,( at end of I-291 ),I-90 Exit 6 ,Exit,6,False,,False
"E Chicopee , 01022 Pride Travel Center",413-592-6190 I-90 Exit 6 ( at end of I-291 ),FORS 24 XL 24,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 Exit 6 ( at end of I-291 ),2008,Chicopee,MA,,( at end of I-291 ),I-90 Exit 6 ,Exit,6,False,,False
E Chicopee ( 01022 ) Pride Travel Center,413-592-6190 I-90 ( MATP ) Exit 6 ( at end of I-291 ) .,24 XL 24,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 ( MATP ) Exit 6 ( at end of I-291 ) .,2014,Chicopee,MA,,( MATP ) Exit 6 ( at end of I-291 ) .,I-90,empty,,False,,False
Chicopee ( 01022 ) Pride Travel Center,413-592-6190 I-90 ( MATP ) Exit 6 ( at end of I-291 ) AMBEST,24 HRS XL 24,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 ( MATP ) Exit 6 ( at end of I-291 ) AMBEST,2015,Chicopee,MA,,( MATP ) Exit 6 ( at end of I-291 ) AMBEST,I-90,empty,,False,,False
Chicopee ( 01022 ) Pride Travel Center,413-592-6190 I-90 ( MATP ) Exit 6 ( at end of I-291 ) .,24 XL 24 <U+25A1>,Chicopee,1022,Pride Travel Center,413-592-6190,I-90 ( MATP ) Exit 6 ( at end of I-291 ) .,2016,Chicopee,MA,,( MATP ) Exit 6 ( at end of I-291 ) .,I-90,empty,,False,,False
"Ludlow , 01056 Ludlow Plaza EB Exxon # 5030",413-583-3779 I-90 ( MATP ) MM 56 EB,24 HRS SOO 0,Ludlow,1056,Ludlow Plaza EB Exxon # 5030,413-583-3779,I-90 ( MATP ) MM 56 EB,2006,Ludlow,MA,Exxon,( MATP ) MM 56 EB,I-90,empty,,False,,False
"Ludlow , 01056 Ludlow Plaza EB Exxon # 5030 )",413-583-3779 I-90 ( MATP ) MM 56 EB,24 HRS S - <U+2610>,Ludlow,1056,Ludlow Plaza EB Exxon # 5030 ),413-583-3779,I-90 ( MATP ) MM 56 EB,2007,Ludlow,MA,Exxon,( MATP ) MM 56 EB,I-90,empty,,False,,False
"E Ludlow , 01056 Ludlow Plaza EB Exxon # 5030",413-583-3779 I-90 ( MATP ) MM 56 EB,124 S <U+2610><U+2610>,Ludlow,1056,Ludlow Plaza EB Exxon # 5030,413-583-3779,I-90 ( MATP ) MM 56 EB,2008,Ludlow,MA,Exxon,( MATP ) MM 56 EB,I-90,empty,,False,,False
E Ludlow ( 01056 ) Ludlow Plaza EB # 9030 ( Gulf ),413-583-3779 I-90 ( MATP ) MM 55.9 EB,24 S <U+25A1>,Ludlow,1056,Ludlow Plaza EB # 9030 ( Gulf ),413-583-3779,I-90 ( MATP ) MM 55.9 EB,2014,Ludlow,MA,Gulf,( MATP ) MM 55.9 EB,I-90,empty,,False,,False
Ludlow ( 01056 ) Ludlow Plaza EB # 9030 ( Gulf ),413-583-3779 I-90 ( MATP ) MM 55.9 EB,24 S,Ludlow,1056,Ludlow Plaza EB # 9030 ( Gulf ),413-583-3779,I-90 ( MATP ) MM 55.9 EB,2015,Ludlow,MA,Gulf,( MATP ) MM 55.9 EB,I-90,empty,,False,,False
Ludlow ( 01056 ) Ludlow Plaza EB # 852 ( Gulf ),413-583-3779 I-90 ( MATP ) MM 55.9 EB,24 S 24 <U+2610>,Ludlow,1056,Ludlow Plaza EB # 852 ( Gulf ),413-583-3779,I-90 ( MATP ) MM 55.9 EB,2016,Ludlow,MA,Gulf,( MATP ) MM 55.9 EB,I-90,empty,,False,,False
"Ludlow , 01056 Ludlow Plaza WB Exxon # 5035",413-589-7333 I-90 ( MATP ) MM 67 WB,),Ludlow,1056,Ludlow Plaza WB Exxon # 5035,413-589-7333,I-90 ( MATP ) MM 67 WB,2006,Ludlow,MA,Exxon,( MATP ) MM 67 WB,I-90,empty,,False,,False
"E Ludlow , 01056 Ludlow Plaza WB Exxon # 5035",413-589-7333 I-90 ( MATP ) MM 67 WB,24 HRS S 0,Ludlow,1056,Ludlow Plaza WB Exxon # 5035,413-589-7333,I-90 ( MATP ) MM 67 WB,2007,Ludlow,MA,Exxon,( MATP ) MM 67 WB,I-90,empty,,False,,False
"Ludlow , 01056 Ludlow Plaza WB Exxon # 5035",413-589-7333 I-90 ( MATP ) MM 67 WB,103 24 <U+25A1> S,Ludlow,1056,Ludlow Plaza WB Exxon # 5035,413-589-7333,I-90 ( MATP ) MM 67 WB,2008,Ludlow,MA,Exxon,( MATP ) MM 67 WB,I-90,empty,,False,,False
Ludlow ( 01056 ) Ludlow Plaza WB # 9035 ( Gulf ),3 413-589-7333 I-90 ( MATP ) MM 56 WB,24 S,Ludlow,1056,Ludlow Plaza WB # 9035 ( Gulf ),413-589-7333,I-90 ( MATP ) MM 56 WB,2014,Ludlow,MA,Gulf,( MATP ) MM 56 WB,I-90,empty,,False,,False
Ludlow ( 01056 ) Ludlow Plaza WB # 9035 ( Gulf ),413-589-7333 I-90 ( MATP ) MM 56 WB,124 S <U+2610>,Ludlow,1056,Ludlow Plaza WB # 9035 ( Gulf ),413-589-7333,I-90 ( MATP ) MM 56 WB,2015,Ludlow,MA,Gulf,( MATP ) MM 56 WB,I-90,empty,,False,,False
Ludlow ( 01056 ) Ludlow Plaza WB # 853 ( Gulf ),413-589-7333 I-90 ( MATP ) MM 56 WB,24 S <U+25A1> <U+2610>,Ludlow,1056,Ludlow Plaza WB # 853 ( Gulf ),413-589-7333,I-90 ( MATP ) MM 56 WB,2016,Ludlow,MA,Gulf,( MATP ) MM 56 WB,I-90,empty,,False,,False
"Southwick , 01077 The Notch Travel Center ( Shell )",413-569-1200 326 MA 10 / US 202 ( S of MA 57 W junction,,Southwick,1077,The Notch Travel Center ( Shell ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W junction,2006,Southwick,MA,Shell,( S of MA 57 W junction,326 MA 10 / US 202,Proper,,False,,False
"E Southwick , 01077 The Notch Travel Center ( Shell MA ) 138 S )",413-569-1200 326 MA 10 / US 202 ( S of MA 57 W junction,) 24 RS SS,Southwick,1077,The Notch Travel Center ( Shell MA ) 138 S ),413-569-1200,326 MA 10 / US 202 ( S of MA 57 W junction,2007,Southwick,MA,Shell,( S of MA 57 W junction,326 MA 10 / US 202,Proper,,False,,False
